codigoAlternativoEmpleado,codigoTipoIncremento,Motivo,codigoAlternativoSolicitante,fechaVigencia,esRetroactivo,Valor,codigoRubroSalarial
1024,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1031,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1041,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1058,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1090,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1091,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1095,3,aumento anual,1725,01/07/2015,NO,1550.82,1
1120,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1136,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1151,3,aumento anual,1725,01/07/2015,NO,1550.81,1
1152,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1153,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1155,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1163,3,aumento anual,1725,01/07/2015,NO,1705.35,1
1182,3,aumento anual,1725,01/07/2015,NO,1644.05,1
1183,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1251,3,aumento anual,1725,01/07/2015,NO,1456.23,1
1257,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1258,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1260,3,aumento anual,1725,01/07/2015,NO,1456.25,1
1288,3,aumento anual,1725,01/07/2015,NO,1990.39,1
1334,3,aumento anual,1725,01/07/2015,NO,1550.81,1
1337,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1349,3,aumento anual,1725,01/07/2015,NO,1550.83,1
1362,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1363,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1365,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1378,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1379,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1388,3,aumento anual,1725,01/07/2015,NO,1456.23,1
1412,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1419,3,aumento anual,1725,01/07/2015,NO,1990.38,1
1442,3,aumento anual,1725,01/07/2015,NO,1990.39,1
1455,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1469,3,aumento anual,1725,01/07/2015,NO,1990.38,1
1470,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1475,3,aumento anual,1725,01/07/2015,NO,1990.39,1
1483,3,aumento anual,1725,01/07/2015,NO,1990.38,1
1496,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1501,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1535,3,aumento anual,1725,01/07/2015,NO,1903.86,1
1537,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1577,3,aumento anual,1725,01/07/2015,NO,1903.86,1
1581,3,aumento anual,1725,01/07/2015,NO,1990.39,1
1590,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1619,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1620,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1627,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1651,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1653,3,aumento anual,1725,01/07/2015,NO,1990.4,1
1654,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1671,3,aumento anual,1725,01/07/2015,NO,1990.39,1
1676,3,aumento anual,1725,01/07/2015,NO,1990.39,1
1677,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1682,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1711,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1715,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1735,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1750,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1774,3,aumento anual,1725,01/07/2015,NO,1990.39,1
1790,3,aumento anual,1725,01/07/2015,NO,1903.86,1
1804,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1812,3,aumento anual,1725,01/07/2015,NO,1522.12,1
1824,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1830,3,aumento anual,1725,01/07/2015,NO,1550.83,1
1833,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1835,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1839,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1849,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1852,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1869,3,aumento anual,1725,01/07/2015,NO,1522.1,1
1872,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1881,3,aumento anual,1725,01/07/2015,NO,1903.88,1
1882,3,aumento anual,1725,01/07/2015,NO,1456.23,1
1886,3,aumento anual,1725,01/07/2015,NO,1522.11,1
1911,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1912,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1944,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1947,3,aumento anual,1725,01/07/2015,NO,1522.12,1
1960,3,aumento anual,1725,01/07/2015,NO,1332.46,1
1969,3,aumento anual,1725,01/07/2015,NO,1903.89,1
1988,3,aumento anual,1725,01/07/2015,NO,2092.45,1
1995,3,aumento anual,1725,01/07/2015,NO,1903.89,1
2011,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2024,3,aumento anual,1725,01/07/2015,NO,1903.88,1
2036,3,aumento anual,1725,01/07/2015,NO,1990.39,1
2037,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2045,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2048,3,aumento anual,1725,01/07/2015,NO,1903.88,1
2073,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2087,3,aumento anual,1725,01/07/2015,NO,1522.12,1
2102,3,aumento anual,1725,01/07/2015,NO,1990.4,1
2105,3,aumento anual,1725,01/07/2015,NO,1522.12,1
2106,3,aumento anual,1725,01/07/2015,NO,1903.89,1
2110,3,aumento anual,1725,01/07/2015,NO,1990.39,1
2113,3,aumento anual,1725,01/07/2015,NO,1903.89,1
2124,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2154,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2192,3,aumento anual,1725,01/07/2015,NO,1903.89,1
2210,3,aumento anual,1725,01/07/2015,NO,1522.13,1
2216,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2217,3,aumento anual,1725,01/07/2015,NO,1456.22,1
2219,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2240,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2241,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2243,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2248,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2249,3,aumento anual,1725,01/07/2015,NO,1522.1,1
2250,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2255,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2260,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2262,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2265,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2267,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2271,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2274,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2280,3,aumento anual,1725,01/07/2015,NO,1456.23,1
